metric,technology,value
scenario,,Baseline
slug,,baseline
description,,Reference planning case using the shared synthetic demand and renewable profiles.
optimization_status,,ok
termination_condition,,optimal
total_annualized_system_cost_eur,,2899682683.6731334
annualized_capital_cost_eur,,1498092992.9997146
operating_cost_eur,,1401589690.673431
cost_reconciliation_difference_eur,,-1.2159347534179688e-05
co2_emissions_tonnes,,2477849.2858783677
installed_capacity_mw,solar,6083.508963631175
installed_capacity_mw,wind,10000.0
installed_capacity_mw,nuclear,2400.0
installed_capacity_mw,gas,4500.0
installed_capacity_mw,imports,3500.0
installed_capacity_mw,battery,100.0
generation_mwh,solar,8875982.838490468
generation_mwh,wind,26868409.790452622
generation_mwh,nuclear,16636410.358272217
generation_mwh,gas,418302.8937212463
generation_mwh,imports,12912322.451529399
generation_mwh,load_shedding,0.0
battery_charging_mwh,,116399.13246587123
battery_discharging_mwh,,104970.83299991746
imports_mwh,,12912322.451529399
renewable_curtailment_mwh,solar,0.0
renewable_curtailment_mwh,wind,300062.18954737857
unserved_energy_mwh,,0.0
